flow [gpm]	head [ft]	speed [Hz]
0	66.650625	76.5
3.12661875	65.95733267	76.5
3.871563	65.72563123	76.5
4.55918325	65.49734717	76.5
5.07481875	65.31797054	76.5
6.16435725	64.9180903	76.5
7.253271	64.49288741	76.5
7.53990375	64.37705435	76.5
9.030417	63.75055452	76.5
10.06200675	63.29486967	76.5
10.806951	62.95539924	76.5
12.1248675	62.33477507	76.5
13.0418475	61.88866993	76.5
14.41668	61.1991835	76.5
15.677655	60.54620918	76.5
17.5112325	59.56375591	76.5
18.714705	58.89884967	76.5
19.57431	58.41464027	76.5
20.14704	58.08785763	76.5
20.7770175	57.72464782	76.5
22.4388525	56.74816641	76.5
23.4698175	56.12943323	76.5
24.099795	55.74662611	76.5
24.5581575	55.46589133	76.5
24.84414	55.28980324	76.5
0	55.80555556	70
2.860958333	55.22507242	70
3.542606667	55.03107233	70
4.171801667	54.83993355	70
4.643625	54.68974422	70
5.640588333	54.35493058	70
6.63698	53.99891466	70
6.899258333	53.9019294	70
8.263126667	53.37737061	70
9.207065	52.9958326	70
9.888713333	52.71159917	70
11.09465	52.19195999	70
11.93371667	51.81844293	70
13.19173333	51.24114642	70
14.34556667	50.69442094	70
16.02335	49.87182775	70
17.12456667	49.31511186	70
17.91113333	48.90969069	70
18.4352	48.63608054	70
19.01165	48.33197049	70
20.53228333	47.51437745	70
21.47565	46.99632156	70
22.0521	46.67580297	70
22.47151667	46.44074801	70
22.7332	46.29331212	70
0	48.11805556	65
2.656604167	47.61753693	65
3.289563333	47.45026134	65
3.873815833	47.28545291	65
4.3119375	47.15595293	65
5.237689167	46.86726157	65
6.16291	46.56028866	65
6.406454167	46.47666361	65
7.672903333	46.02436548	65
8.5494175	45.69538628	65
9.182376667	45.45030745	65
10.302175	45.00225122	65
11.08130833	44.68018804	65
12.24946667	44.18241707	65
13.32088333	43.71100581	65
14.878825	43.00172903	65
15.90138333	42.52170359	65
16.63176667	42.17213125	65
17.1184	41.93621231	65
17.653675	41.67399497	65
19.06569167	40.96902953	65
19.941675	40.52233849	65
20.47695	40.24597297	65
20.86640833	40.04329802	65
21.1094	39.91617219	65
0	41	60
2.45225	40.57352259	60
3.03652	40.43099191	60
3.57583	40.29056343	60
3.98025	40.18022025	60
4.83479	39.93423471	60
5.68884	39.67267199	60
5.91365	39.60141752	60
7.08268	39.21602739	60
7.89177	38.93571375	60
8.47604	38.72688919	60
9.5097	38.34511346	60
10.2289	38.07069277	60
11.3072	37.64655656	60
12.2962	37.24488069	60
13.7343	36.64052651	60
14.6782	36.23151076	60
15.3524	35.9336503	60
15.8016	35.7326306	60
16.2957	35.50920281	60
17.5991	34.9085222	60
18.4077	34.52790972	60
18.9018	34.29242667	60
19.2613	34.11973323	60
19.4856	34.01141299	60
0	34.45138889	55
2.247895833	34.0930294	55
2.783476667	33.97326404	55
3.277844167	33.8552651	55
3.6485625	33.76254618	55
4.431890833	33.55585	55
5.21477	33.33606466	55
5.420845833	33.27619111	55
6.492456667	32.95235635	55
