flow [gpm]	head [ft]	speed [Hz]
29.115	256.218	70.000
29.577	255.402	70.000
30.039	254.543	70.000
30.501	253.639	70.000
30.963	252.690	70.000
31.425	251.692	70.000
31.888	250.646	70.000
32.350	249.549	70.000
32.812	248.399	70.000
33.274	247.194	70.000
33.736	245.934	70.000
34.198	244.615	70.000
34.660	243.237	70.000
35.122	241.798	70.000
35.585	240.295	70.000
36.047	238.726	70.000
36.509	237.090	70.000
36.971	235.385	70.000
37.433	233.609	70.000
37.895	231.759	70.000
38.357	229.834	70.000
38.820	227.831	70.000
39.282	225.749	70.000
39.744	223.584	70.000
40.206	221.336	70.000
40.668	219.001	70.000
41.130	216.578	70.000
41.592	214.064	70.000
42.055	211.456	70.000
42.517	208.753	70.000
42.979	205.952	70.000
43.441	203.050	70.000
43.903	200.045	70.000
44.365	196.935	70.000
44.827	193.717	70.000
45.289	190.388	70.000
45.752	186.946	70.000
0.000	231.022	65.000
0.429	231.022	65.000
0.858	231.022	65.000
1.287	231.022	65.000
1.717	231.022	65.000
2.146	231.022	65.000
2.575	231.022	65.000
3.004	231.021	65.000
3.433	231.021	65.000
3.862	231.020	65.000
4.291	231.018	65.000
4.720	231.016	65.000
5.150	231.014	65.000
5.579	231.010	65.000
6.008	231.006	65.000
6.437	231.000	65.000
6.866	230.994	65.000
7.295	230.985	65.000
7.724	230.975	65.000
8.153	230.962	65.000
8.583	230.948	65.000
9.012	230.930	65.000
9.441	230.910	65.000
9.870	230.887	65.000
10.299	230.860	65.000
10.728	230.829	65.000
11.157	230.793	65.000
11.586	230.753	65.000
12.016	230.708	65.000
12.445	230.657	65.000
12.874	230.600	65.000
13.303	230.536	65.000
13.732	230.465	65.000
14.161	230.387	65.000
14.590	230.301	65.000
15.019	230.205	65.000
15.449	230.101	65.000
15.878	229.986	65.000
16.307	229.861	65.000
16.736	229.724	65.000
17.165	229.576	65.000
17.594	229.415	65.000
18.023	229.240	65.000
18.452	229.051	65.000
18.882	228.848	65.000
19.311	228.628	65.000
19.740	228.392	65.000
20.169	228.139	65.000
20.598	227.867	65.000
21.027	227.576	65.000
21.456	227.265	65.000
21.886	226.933	65.000
22.315	226.578	65.000
22.744	226.201	65.000
23.173	225.800	65.000
23.602	225.373	65.000
24.031	224.920	65.000
24.460	224.441	65.000
24.889	223.932	65.000
25.319	223.394	65.000
25.748	222.826	65.000
